,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,Recall
T-shirt/top,824.0,0.0,11.0,30.0,5.0,2.0,121.0,0.0,7.0,0.0,0.824
Trouser,0.0,983.0,0.0,10.0,3.0,0.0,3.0,0.0,1.0,0.0,0.983
Pullover,9.0,1.0,841.0,8.0,71.0,0.0,67.0,0.0,3.0,0.0,0.841
Dress,11.0,6.0,7.0,922.0,20.0,0.0,32.0,0.0,2.0,0.0,0.922
Coat,0.0,1.0,40.0,39.0,873.0,0.0,47.0,0.0,0.0,0.0,0.873
Sandal,0.0,0.0,0.0,0.0,0.0,981.0,0.0,14.0,0.0,5.0,0.981
Shirt,93.0,2.0,47.0,26.0,76.0,0.0,749.0,0.0,7.0,0.0,0.749
Sneaker,0.0,0.0,0.0,0.0,0.0,8.0,0.0,968.0,0.0,24.0,0.968
Bag,3.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,979.0,0.0,0.979
Ankle boot,0.0,0.0,0.0,0.0,0.0,4.0,1.0,30.0,0.0,965.0,0.965
Precision,0.8765957446808511,0.9889336016096579,0.8880675818373812,0.8865384615384615,0.8322211630123928,0.9839518555667001,0.7321603128054741,0.951819075712881,0.97997997997998,0.9708249496981891,0.9085
