,0,1,2,3,4,5,6,7,8,9,Recall
0,974.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.9938775510204082
1,0.0,1132.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9973568281938326
2,0.0,0.0,1029.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.997093023255814
3,0.0,0.0,0.0,1004.0,0.0,3.0,0.0,0.0,1.0,2.0,0.994059405940594
4,0.0,0.0,1.0,0.0,971.0,0.0,2.0,0.0,1.0,7.0,0.9887983706720977
5,2.0,0.0,0.0,6.0,0.0,879.0,1.0,1.0,1.0,2.0,0.9854260089686099
6,4.0,2.0,0.0,0.0,2.0,1.0,949.0,0.0,0.0,0.0,0.9906054279749478
7,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1016.0,1.0,3.0,0.9883268482490273
8,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,961.0,4.0,0.9866529774127311
9,1.0,2.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,995.0,0.9861248761149654
Precision,0.9898373983739838,0.9956024626209323,0.989423076923077,0.9891625615763546,0.9928425357873211,0.9932203389830508,0.9958027282266527,0.9902534113060428,0.9917440660474717,0.9822309970384995,0.991
