,train_loss,val_loss,train_accuracy,val_accuracy
0,0.9710495066354967,0.3208886384963989,0.7130545377731323,0.9043999910354614
1,0.3188023064448051,0.21346333622932434,0.9049272537231445,0.9363999962806702
2,0.229053049417101,0.15974226593971252,0.9305272698402405,0.9519999623298645
3,0.18327784377684975,0.12926612794399261,0.9448908567428589,0.9589999914169312
4,0.15274484432668117,0.1151980385184288,0.9541454315185547,0.9637999534606934
5,0.13292107677304985,0.10341551899909973,0.9593636393547058,0.968999981880188
6,0.11916471728494303,0.08917241543531418,0.963490903377533,0.9727999567985535
7,0.10515856878940881,0.08274554461240768,0.9677272439002991,0.9729999899864197
8,0.09683515760441348,0.08059119433164597,0.9699454307556152,0.9717999696731567
9,0.0900065335078049,0.07087314873933792,0.9722545146942139,0.9797999858856201
10,0.08368169945971352,0.06528208404779434,0.9732726812362671,0.9799999594688416
11,0.07717893590298419,0.0650126114487648,0.9764363169670105,0.9809999465942383
12,0.07306646969156647,0.06131333112716675,0.9776726961135864,0.9817999601364136
13,0.06909857147116996,0.05797044187784195,0.9790726900100708,0.9842000007629395
14,0.06346885817585413,0.05475875362753868,0.9803454279899597,0.9847999811172485
15,0.06206022581328552,0.05440617352724075,0.981181800365448,0.9847999811172485
16,0.0582804948967771,0.052299823611974716,0.9810909032821655,0.98499995470047
17,0.05685790617684246,0.05414482206106186,0.9824908971786499,0.9839999675750732
18,0.05219296044977506,0.04730716347694397,0.9838545322418213,0.9861999750137329
19,0.0507636989970432,0.04526929184794426,0.9836726784706116,0.9878000020980835
20,0.04763100033694631,0.04874478280544281,0.9851636290550232,0.9861999750137329
21,0.044910198606101286,0.04425307363271713,0.9861999750137329,0.9863999485969543
22,0.04310755474994597,0.041676122695207596,0.9862545132637024,0.9883999824523926
23,0.04150446140353428,0.043359048664569855,0.9869272708892822,0.986799955368042
24,0.040541550701436946,0.04339715838432312,0.9865090847015381,0.986799955368042
25,0.037886917829571994,0.04150084778666496,0.9876908659934998,0.9887999892234802
26,0.03658873164503691,0.04115033522248268,0.988636314868927,0.988599956035614
27,0.03659297051240557,0.0402805358171463,0.988599956035614,0.988599956035614
28,0.03503751827418734,0.0415305569767952,0.9887818098068237,0.9891999959945679
29,0.03382260069117003,0.03825207054615021,0.9891272187232971,0.9896000027656555
30,0.03199447414967738,0.0400700569152832,0.9901454448699951,0.989799976348877
31,0.030525326869523178,0.03856425732374191,0.9898181557655334,0.989799976348877
32,0.029490644595515467,0.04504993557929993,0.9905090928077698,0.986799955368042
33,0.02791299766145175,0.03700362145900726,0.9912363290786743,0.9901999831199646
34,0.02778858447959081,0.03651869297027588,0.9912908673286438,0.9907999634742737
35,0.027833386169692814,0.03585483133792877,0.9912545084953308,0.9909999966621399
36,0.027364444940148898,0.03730104863643646,0.9910908937454224,0.9909999966621399
37,0.02636252251862438,0.03819500282406807,0.991563618183136,0.989799976348877
38,0.024323437137142998,0.036063045263290405,0.991599977016449,0.9907999634742737
39,0.02524760037315907,0.036362405866384506,0.9918181300163269,0.9907999634742737
40,0.02423647342891737,0.03687426820397377,0.9921635985374451,0.990399956703186
41,0.02339749560995525,0.03726755082607269,0.9921635985374451,0.9901999831199646
42,0.022617830342246934,0.03649470955133438,0.9923636317253113,0.9909999966621399
43,0.02124413927520308,0.03661656379699707,0.9927454590797424,0.9911999702453613
44,0.02066925395093005,0.03641294687986374,0.9932727217674255,0.9905999898910522
45,0.020363610011581115,0.034638021141290665,0.993254542350769,0.991599977016449
46,0.0200619650328863,0.03712907060980797,0.9930908679962158,0.9893999695777893
47,0.01925179596303008,0.035903554409742355,0.9935817718505859,0.9907999634742737
48,0.017743082527177174,0.03761488199234009,0.9943636059761047,0.9911999702453613
49,0.019223604863988462,0.033815134316682816,0.9936363101005554,0.991599977016449
